time(ms),accX(G),accY(G),accZ(G)
1.071,0.99121,-0.00317,0.05005
1.994,0.9917,0.0022,0.05688
2.913,0.97534,-0.00098,0.0498
3.832,0.9646,-0.00122,0.04199
4.751,0.98438,0.00244,0.05469
5.67,0.99902,0.00342,0.06396
6.589,0.97314,0.0,0.05957
7.508,0.96143,0.00195,0.04639
8.427,0.98315,0.00024,0.04419
9.353,1.00903,-0.0022,0.05786
10.272,1.02051,-0.01294,0.06152
11.191,1.00049,-0.0166,0.05176
12.11,0.96362,-0.00342,0.06177
13.029,0.96362,-0.00342,0.06177
13.948,0.96167,0.01001,0.07959
14.867,0.97876,0.01636,0.0918
15.786,0.98193,0.00635,0.08936
16.708,0.99048,-0.00342,0.06079
17.626,0.99756,-0.01001,0.05347
18.545,0.9917,-0.00635,0.07104
19.466,0.97681,0.00122,0.06982
20.385,0.96631,-0.00073,0.06055
21.304,0.97339,-0.00293,0.05811
22.223,1.00757,0.0,0.06299
23.142,1.0105,0.00781,0.06958
24.061,0.98511,0.00244,0.073
24.979,0.98511,0.00244,0.073
25.898,0.97949,0.00049,0.07373
26.818,0.98853,0.00342,0.0686
27.737,0.99438,-0.00342,0.07031
28.655,0.97852,-0.00537,0.07104
29.568,0.98047,-0.00562,0.06592
30.494,0.98853,-0.00293,0.07153
31.412,0.98779,0.00269,0.07153
32.331,0.97266,0.0,0.06567
33.254,0.96069,-0.00513,0.07007
34.173,0.98071,-0.00488,0.06885
35.091,0.99829,-0.01196,0.07227
36.01,0.99023,-0.01587,0.07764
36.929,0.99023,-0.01587,0.07764
37.848,0.97534,-0.00562,0.0708
38.767,0.97681,0.00537,0.06812
39.691,0.99194,0.0083,0.06738
40.609,0.98975,-0.00098,0.06592
41.528,0.97339,-0.00391,0.06323
42.454,0.97192,-0.00098,0.06592
43.373,0.98853,-0.00269,0.07812
44.291,1.00146,-0.00635,0.08228
45.21,0.97705,-0.00903,0.06714
46.129,0.96143,-0.00342,0.05811
47.051,0.98267,0.00854,0.06812
47.97,1.00098,0.00732,0.08325
48.889,1.00195,-0.00366,0.07886
49.808,1.00195,-0.00366,0.07886
50.73,0.98853,-0.00488,0.06104
51.649,0.98315,-0.00391,0.06348
52.568,0.99146,0.00244,0.07471
53.494,0.98486,0.00806,0.07935
54.413,0.9646,0.00049,0.07959
55.331,0.95483,-0.00098,0.0752
56.254,0.98169,0.00439,0.07666
57.173,0.9978,0.00195,0.07837
58.091,0.97656,0.0,0.06519
59.01,0.96118,0.00269,0.0564
59.929,0.9856,0.00391,0.05688
60.848,1.01245,-0.00635,0.06909
61.767,1.01245,-0.00635,0.06909
62.691,1.01538,-0.0083,0.0686
63.609,0.99585,-0.00122,0.0564
64.528,0.97437,0.00342,0.06592
65.454,0.98096,0.01636,0.08008
66.373,0.98315,0.01758,0.08105
67.291,0.97656,-0.00269,0.0708
68.21,0.97949,-0.01709,0.06738
69.129,1.00244,-0.01196,0.06128
70.051,1.00146,0.00049,0.0647
70.97,0.96777,0.0061,0.06714
71.889,0.95361,0.00732,0.05591
72.808,0.97754,0.01123,0.0603
73.73,0.97754,0.01123,0.0603
74.649,1.00903,-0.00342,0.07764
75.568,1.00122,-0.01367,0.08594
76.494,0.98071,-0.00635,0.06982
77.413,0.98047,-0.00195,0.06616
78.331,0.97412,-0.00049,0.08154
79.254,0.97363,-0.00244,0.08276
80.173,0.97437,-0.00269,0.07178
81.091,0.97412,0.00073,0.06348
82.01,0.98267,0.01196,0.07031
82.929,0.98145,0.01196,0.07397
83.848,0.97534,-0.00073,0.06152
84.767,0.97437,-0.00977,0.05371
85.691,0.99341,-0.01978,0.06226
86.609,0.99341,-0.01978,0.06226
87.528,1.01489,-0.01782,0.07544
88.454,0.99487,-0.00391,0.07593
89.373,0.96851,0.00391,0.06787
90.291,0.98657,0.00854,0.06152
91.21,1.00146,0.00537,0.07031
92.129,0.99414,-0.01196,0.07422
93.051,0.98071,-0.0083,0.0647
93.97,0.96338,0.00781,0.07227
94.889,0.97949,0.01147,0.0791
95.808,0.99683,0.01123,0.0791
96.73,0.97266,0.00513,0.0686
97.649,0.96143,-0.00171,0.06079
98.568,0.96143,-0.00171,0.06079
99.494,0.98364,-0.00269,0.05859
100.413,0.99658,0.00049,0.05884
101.331,0.98926,-0.00098,0.06348
102.254,0.98828,-0.00684,0.05908
103.173,0.98535,-0.00928,0.06787
104.091,0.98486,0.00342,0.07935
105.01,0.97827,0.00757,0.08154
105.929,0.95728,0.01074,0.07153
106.848,0.97314,0.01294,0.06665
107.767,1.00269,-0.00366,0.07056
108.691,0.99829,-0.0083,0.06616
